time,open,high,low,close,volume,spread
2025-12-04T00:00:00Z,4211.745,4217.045,4188.77,4207.407,25.29,0.59
2025-12-05T00:00:00Z,4203.12,4219.795,4196.791,4207.62,19.71,0.579
2025-12-08T00:00:00Z,4208.655,4219.095,4176.291,4191.64,19.55,0.597
2025-12-09T00:00:00Z,4194.765,4214.51,4184.58,4212.66,16.47,0.575
2025-12-10T00:00:00Z,4217.1,4238.71,4188.93,4232.55,21.43,0.625
2025-12-11T00:00:00Z,4222.239,4285.975,4209.435,4276.247,24.57,0.588
2025-12-12T00:00:00Z,4266.485,4339.37,4266.165,4299.37,16.47,0.605
2025-12-15T00:00:00Z,4302.58,4348.235,4299.633,4304.625,18.64,0.613
2025-12-16T00:00:00Z,4304.355,4323.365,4274.682,4304.705,31.59,0.598
2025-12-17T00:00:00Z,4328.84,4328.84,4306.625,4317.775,4.96,0.582
2025-12-18T00:00:00Z,4334.97,4374.73,4317.298,4331.854,30.86,0.656
2025-12-19T00:00:00Z,4335.145,4355.968,4319.772,4353.56,14.15,0.585
2025-12-22T00:00:00Z,4382.852,4420.11,4378.735,4415.828,13.45,0.786
2025-12-23T00:00:00Z,4460.21,4496.44,4430.389,4490.882,27.89,0.702
2025-12-24T00:00:00Z,4493.29,4501.609,4477.42,4479.54,14.2,0.852
2025-12-26T00:00:00Z,4495.295,4547.4,4492.365,4531.17,30.64,0.843
2025-12-29T00:00:00Z,4516.359,4519.683,4327.574,4332.165,29.99,0.814
2025-12-30T00:00:00Z,4359.31,4402.85,4357.644,4364.842,21.15,0.783
2025-12-31T00:00:00Z,4366.082,4371.36,4276.215,4319.774,25.32,0.919
